feedback,errors,algorithm_used,framework,accuracy,model_identified,security_vulnerabilities,time_complexity,space_complexity,reliability,system_id
Macedonian,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.06,Mr,false,O(n log n),O(n),true,73-636-7869
Bosnian,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.32,Ms,true,O(n log n),O(n),false,70-399-0113
Icelandic,91,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.25,Honorable,false,O(n log n),O(n),false,21-466-5131
Kyrgyz,53,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Mr,false,O(n log n),O(n),false,42-493-0818
Telugu,0,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Honorable,false,O(n log n),O(n),true,58-070-6607
Kashmiri,47,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.94,Rev,false,O(n log n),O(n),true,80-746-1672
Bosnian,69,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.18,Dr,true,O(n log n),O(n),true,73-150-1454
Tetum,41,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.2,Mrs,false,O(n log n),O(n),true,67-208-0752
Persian,76,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Mr,true,O(n log n),O(n),false,37-694-6339
Ndebele,11,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.63,Mr,true,O(n log n),O(n),true,21-776-6812
Swedish,72,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.69,Honorable,true,O(n log n),O(n),true,57-205-7881
Burmese,63,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Ms,false,O(n log n),O(n),true,38-578-0422
Spanish,81,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Dr,true,O(n log n),O(n),true,82-181-4647
Hungarian,3,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Ms,false,O(n log n),O(n),false,24-244-1746
Spanish,41,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.08,Mrs,false,O(n log n),O(n),false,49-957-8281
Punjabi,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Dr,false,O(n log n),O(n),true,30-153-5903
Tamil,89,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Mr,true,O(n log n),O(n),true,22-590-4018
New Zealand Sign Language,26,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.62,Ms,false,O(n log n),O(n),true,56-167-2686
Kurdish,72,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.7,Mrs,true,O(n log n),O(n),true,91-422-8874
Kannada,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Mr,false,O(n log n),O(n),false,40-202-2008
Kazakh,72,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.05,Honorable,false,O(n log n),O(n),true,70-409-4224
Danish,20,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Dr,true,O(n log n),O(n),false,68-936-0883
Papiamento,80,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.64,Honorable,false,O(n log n),O(n),true,30-195-6465
Malay,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Rev,false,O(n log n),O(n),true,87-789-3759
Greek,49,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.56,Dr,false,O(n log n),O(n),false,30-390-6941
Spanish,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.81,Honorable,true,O(n log n),O(n),true,16-247-8269
Marathi,16,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.48,Dr,true,O(n log n),O(n),true,05-201-4556
Spanish,86,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.64,Mr,true,O(n log n),O(n),true,22-759-9129
Ndebele,81,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.07,Rev,false,O(n log n),O(n),false,10-063-1897
Swati,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.47,Dr,true,O(n log n),O(n),false,26-214-3366
Filipino,58,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.33,Ms,false,O(n log n),O(n),true,97-669-6467
Malayalam,27,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.01,Mrs,true,O(n log n),O(n),true,30-173-6755
Armenian,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.68,Honorable,true,O(n log n),O(n),true,14-630-7552
Thai,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Ms,true,O(n log n),O(n),false,61-020-3825
Ndebele,14,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Dr,true,O(n log n),O(n),true,91-750-2022
Ndebele,79,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.78,Mrs,true,O(n log n),O(n),false,79-640-7935
French,99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.01,Mr,false,O(n log n),O(n),true,92-218-2018
Lao,48,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.09,Dr,false,O(n log n),O(n),false,29-982-2838
Danish,25,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Rev,false,O(n log n),O(n),true,75-944-7034
Czech,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.23,Ms,false,O(n log n),O(n),true,11-562-3159
Italian,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.26,Rev,false,O(n log n),O(n),true,44-615-9097
Swedish,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Ms,true,O(n log n),O(n),false,84-754-3188
Tamil,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.64,Dr,true,O(n log n),O(n),true,69-844-4115
Armenian,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Honorable,false,O(n log n),O(n),true,08-621-8411
Kashmiri,26,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.68,Honorable,false,O(n log n),O(n),false,04-810-8855
Czech,35,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Dr,true,O(n log n),O(n),true,17-476-1500
Dutch,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.74,Ms,false,O(n log n),O(n),true,13-478-7773
Icelandic,40,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Rev,false,O(n log n),O(n),false,51-849-5769
Georgian,37,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.12,Mr,true,O(n log n),O(n),false,06-350-9349
Dzongkha,67,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.54,Mrs,true,O(n log n),O(n),true,85-810-0814
Kashmiri,3,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.17,Honorable,false,O(n log n),O(n),false,77-684-3369
Hebrew,48,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.05,Mr,true,O(n log n),O(n),false,07-978-3414
Albanian,47,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.15,Dr,false,O(n log n),O(n),false,80-990-9742
Croatian,26,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.91,Mrs,true,O(n log n),O(n),false,82-232-5893
Latvian,33,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.98,Honorable,true,O(n log n),O(n),false,14-926-0712
Māori,39,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.95,Ms,true,O(n log n),O(n),true,94-143-0604
Portuguese,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.57,Dr,false,O(n log n),O(n),true,51-045-1653
Bulgarian,34,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.05,Ms,false,O(n log n),O(n),false,88-096-5567
Dhivehi,60,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.46,Ms,false,O(n log n),O(n),false,69-786-0514
Filipino,20,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.52,Ms,true,O(n log n),O(n),false,65-599-7317
Tajik,65,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.86,Dr,false,O(n log n),O(n),true,91-420-2217
Afrikaans,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Mrs,true,O(n log n),O(n),false,78-923-9085
Dzongkha,3,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.59,Rev,true,O(n log n),O(n),false,59-019-1476
Kurdish,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.6,Honorable,true,O(n log n),O(n),false,25-935-8999
Haitian Creole,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.21,Mrs,true,O(n log n),O(n),false,56-240-3431
Kazakh,69,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.39,Mr,false,O(n log n),O(n),false,13-641-6870
Yiddish,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Rev,false,O(n log n),O(n),false,33-173-1644
New Zealand Sign Language,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Honorable,true,O(n log n),O(n),true,25-472-3889
Papiamento,91,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Rev,true,O(n log n),O(n),true,26-048-6680
Hiri Motu,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.24,Mr,true,O(n log n),O(n),true,04-394-9165
Korean,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Mrs,false,O(n log n),O(n),true,76-716-5147
Chinese,18,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Mr,false,O(n log n),O(n),false,91-230-3641
Fijian,22,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.09,Mr,true,O(n log n),O(n),true,13-123-2265
Khmer,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.12,Honorable,false,O(n log n),O(n),false,83-419-4354
Azeri,6,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.06,Rev,false,O(n log n),O(n),false,23-544-6548
Assamese,99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Mrs,false,O(n log n),O(n),false,92-657-7495
Norwegian,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.0,Mrs,true,O(n log n),O(n),true,35-383-5034
Estonian,96,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Honorable,false,O(n log n),O(n),false,47-695-6539
English,49,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.78,Honorable,true,O(n log n),O(n),true,30-166-8723
Hiri Motu,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Dr,true,O(n log n),O(n),true,71-100-2674
Yiddish,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.48,Mrs,false,O(n log n),O(n),true,11-492-4813
West Frisian,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.9,Dr,false,O(n log n),O(n),false,06-873-0545
Thai,62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.8,Rev,true,O(n log n),O(n),true,00-683-4580
Lithuanian,74,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.82,Honorable,true,O(n log n),O(n),false,02-221-0568
Albanian,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.97,Mrs,false,O(n log n),O(n),false,66-866-4720
Hindi,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Ms,false,O(n log n),O(n),true,81-186-3079
Azeri,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Mr,true,O(n log n),O(n),false,13-549-5790
Malay,44,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Rev,true,O(n log n),O(n),true,16-818-4083
Guaraní,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Honorable,false,O(n log n),O(n),false,81-272-4653
Pashto,71,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.68,Dr,false,O(n log n),O(n),true,90-542-9480
Arabic,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.39,Ms,true,O(n log n),O(n),true,13-981-5086
Zulu,65,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.97,Ms,true,O(n log n),O(n),true,02-279-5351
Burmese,73,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Ms,false,O(n log n),O(n),true,14-182-7230
Catalan,10,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Mrs,true,O(n log n),O(n),false,48-615-5275
Bosnian,85,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Dr,false,O(n log n),O(n),false,59-626-7560
Kurdish,94,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.42,Honorable,true,O(n log n),O(n),false,44-667-0562
Portuguese,75,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Mr,true,O(n log n),O(n),false,21-116-7482
Bosnian,13,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.51,Mrs,true,O(n log n),O(n),true,97-539-9960
Kazakh,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.29,Rev,false,O(n log n),O(n),true,37-257-5381
Hebrew,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.62,Dr,true,O(n log n),O(n),false,70-121-5048
Indonesian,87,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.29,Mr,true,O(n log n),O(n),true,56-576-4116
Armenian,39,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.09,Honorable,true,O(n log n),O(n),true,73-061-2082
Croatian,26,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.6,Rev,false,O(n log n),O(n),false,33-178-6413
Persian,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.54,Ms,false,O(n log n),O(n),false,05-974-6340
Finnish,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.33,Mrs,false,O(n log n),O(n),false,59-633-1511
Finnish,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.15,Mr,false,O(n log n),O(n),true,40-898-1872
Luxembourgish,18,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Rev,false,O(n log n),O(n),false,82-189-2619
Burmese,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.85,Dr,true,O(n log n),O(n),false,99-827-1835
French,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.34,Rev,false,O(n log n),O(n),true,96-882-4567
Marathi,16,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.41,Rev,false,O(n log n),O(n),false,26-615-4153
Croatian,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Rev,false,O(n log n),O(n),false,01-830-5658
Luxembourgish,31,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.92,Rev,true,O(n log n),O(n),true,46-363-9192
Indonesian,27,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.35,Mr,false,O(n log n),O(n),false,79-080-4707
Kyrgyz,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Mr,false,O(n log n),O(n),true,96-334-2708
Nepali,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Mrs,false,O(n log n),O(n),true,89-432-3014
English,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.27,Mr,false,O(n log n),O(n),true,42-627-6206
Tsonga,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.29,Honorable,false,O(n log n),O(n),true,60-572-3972
Tamil,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.44,Dr,false,O(n log n),O(n),false,32-933-4223
Zulu,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.26,Ms,true,O(n log n),O(n),true,75-236-3282
Malay,36,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.78,Honorable,true,O(n log n),O(n),true,94-632-9920
Haitian Creole,100,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Mr,true,O(n log n),O(n),true,48-305-2130
Irish Gaelic,53,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Dr,true,O(n log n),O(n),false,34-417-8934
Japanese,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Mr,true,O(n log n),O(n),true,74-024-8788
Romanian,51,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.95,Ms,false,O(n log n),O(n),false,30-882-2474
Māori,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.25,Mr,false,O(n log n),O(n),false,50-579-7617
Burmese,38,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Dr,false,O(n log n),O(n),false,17-561-4891
Tajik,34,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Rev,false,O(n log n),O(n),false,63-920-0484
Japanese,44,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.06,Ms,false,O(n log n),O(n),true,99-980-5259
Bislama,25,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.67,Mr,true,O(n log n),O(n),true,66-932-6109
Ndebele,68,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.28,Rev,true,O(n log n),O(n),false,68-989-9570
Montenegrin,13,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.28,Mr,true,O(n log n),O(n),true,84-456-0766
Macedonian,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.95,Ms,false,O(n log n),O(n),false,22-466-8186
Montenegrin,32,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.09,Mrs,false,O(n log n),O(n),false,83-271-9935
Macedonian,4,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Honorable,true,O(n log n),O(n),true,42-030-9108
Swati,67,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Honorable,true,O(n log n),O(n),true,02-046-2383
Persian,76,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.9,Dr,false,O(n log n),O(n),false,43-537-9513
Estonian,79,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.14,Rev,true,O(n log n),O(n),false,00-517-2530
Dzongkha,72,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.4,Dr,true,O(n log n),O(n),false,15-574-7713
Kyrgyz,92,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Mr,false,O(n log n),O(n),true,48-110-1491
Amharic,62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.07,Mr,true,O(n log n),O(n),false,17-117-3638
Italian,52,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.46,Rev,true,O(n log n),O(n),true,63-506-7561
Fijian,42,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.55,Mr,false,O(n log n),O(n),true,18-557-7874
Malagasy,14,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Ms,false,O(n log n),O(n),false,93-157-4969
Māori,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Rev,true,O(n log n),O(n),true,54-076-9883
Mongolian,38,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.55,Rev,false,O(n log n),O(n),false,91-497-9965
Lao,98,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.48,Honorable,true,O(n log n),O(n),false,73-740-8661
Belarusian,60,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.51,Dr,true,O(n log n),O(n),false,30-249-5167
Northern Sotho,36,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.89,Ms,true,O(n log n),O(n),false,59-652-5615
Georgian,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.58,Mrs,true,O(n log n),O(n),true,72-238-4452
Kyrgyz,71,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.74,Mr,true,O(n log n),O(n),false,73-604-1876
Oriya,28,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.99,Rev,true,O(n log n),O(n),false,20-825-9467
English,36,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.78,Mrs,true,O(n log n),O(n),false,51-045-2189
Hindi,58,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.18,Mrs,true,O(n log n),O(n),false,31-213-3886
Burmese,88,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Honorable,true,O(n log n),O(n),true,70-596-0675
Maltese,62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.54,Mrs,false,O(n log n),O(n),false,37-367-1755
Malayalam,16,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.41,Ms,true,O(n log n),O(n),false,23-284-1408
Albanian,25,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Dr,true,O(n log n),O(n),true,34-215-8818
West Frisian,71,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.58,Honorable,false,O(n log n),O(n),true,59-614-8265
Japanese,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.01,Dr,true,O(n log n),O(n),true,16-837-1186
Guaraní,76,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Honorable,true,O(n log n),O(n),false,69-472-3260
Latvian,77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Mrs,false,O(n log n),O(n),true,96-250-4321
Tajik,96,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Honorable,false,O(n log n),O(n),false,14-624-9783
Thai,5,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Ms,false,O(n log n),O(n),true,91-107-0607
Montenegrin,78,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.8,Ms,false,O(n log n),O(n),false,35-666-5443
Hebrew,77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.34,Rev,true,O(n log n),O(n),true,86-420-0148
Tamil,1,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.04,Ms,true,O(n log n),O(n),false,13-177-9294
