feedback,errors,algorithm_used,framework,accuracy,model_identified,security_vulnerabilities,time_complexity,space_complexity,reliability,system_id
Mongolian,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.06,Honorable,true,O(n log n),O(n),true,27-510-8366
Tetum,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.37,Ms,false,O(n log n),O(n),false,79-365-4522
Kazakh,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.07,Dr,false,O(n log n),O(n),false,73-405-5848
Tajik,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Honorable,true,O(n log n),O(n),false,85-403-4356
Khmer,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.04,Rev,true,O(n log n),O(n),false,26-199-1104
Dzongkha,8,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.74,Mrs,true,O(n log n),O(n),true,39-924-5944
Hungarian,55,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.27,Rev,false,O(n log n),O(n),true,85-793-6241
Lao,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Ms,true,O(n log n),O(n),true,08-925-5132
Quechua,80,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.7,Rev,false,O(n log n),O(n),false,71-421-7846
Nepali,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.18,Rev,false,O(n log n),O(n),false,61-467-1445
Telugu,83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.53,Mrs,true,O(n log n),O(n),false,98-701-7087
Malayalam,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Mrs,true,O(n log n),O(n),false,38-410-5018
Malay,6,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.05,Rev,false,O(n log n),O(n),false,20-946-6563
Northern Sotho,3,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.17,Ms,true,O(n log n),O(n),false,87-988-5440
Kyrgyz,35,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.73,Ms,false,O(n log n),O(n),false,83-107-1374
Tamil,37,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.88,Ms,true,O(n log n),O(n),true,39-393-1770
Danish,22,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.6,Dr,false,O(n log n),O(n),true,72-153-3425
Swedish,82,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.69,Dr,false,O(n log n),O(n),false,24-563-1935
French,86,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.91,Dr,true,O(n log n),O(n),true,26-555-7917
Hiri Motu,31,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.43,Mrs,true,O(n log n),O(n),true,49-614-9841
Montenegrin,25,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.83,Mr,false,O(n log n),O(n),true,32-658-6660
Sotho,30,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Mrs,true,O(n log n),O(n),false,97-033-1420
Bislama,67,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.97,Rev,false,O(n log n),O(n),false,79-271-0024
Finnish,74,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Ms,false,O(n log n),O(n),true,41-093-2457
French,98,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Rev,false,O(n log n),O(n),true,55-870-0739
Fijian,45,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.21,Honorable,false,O(n log n),O(n),false,62-595-3938
Luxembourgish,4,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Rev,true,O(n log n),O(n),false,65-958-6219
Oriya,28,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Honorable,false,O(n log n),O(n),true,07-843-7060
Telugu,98,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Honorable,false,O(n log n),O(n),false,15-296-1620
Haitian Creole,40,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Mr,false,O(n log n),O(n),true,30-763-4028
Aymara,27,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.01,Rev,true,O(n log n),O(n),false,34-540-8993
Somali,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.36,Mr,true,O(n log n),O(n),false,20-497-8639
Afrikaans,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.73,Mr,true,O(n log n),O(n),false,38-993-9202
Hebrew,89,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Rev,true,O(n log n),O(n),true,58-956-9021
Thai,22,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.61,Mrs,false,O(n log n),O(n),true,30-255-8549
Papiamento,19,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.14,Mrs,true,O(n log n),O(n),false,33-251-1177
Mongolian,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Mr,true,O(n log n),O(n),false,62-501-8494
Northern Sotho,84,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Mr,true,O(n log n),O(n),true,41-725-2724
Kazakh,21,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.91,Rev,false,O(n log n),O(n),true,89-281-2665
Kyrgyz,94,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.98,Dr,false,O(n log n),O(n),false,74-856-2234
Quechua,6,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.1,Rev,true,O(n log n),O(n),true,49-764-3128
Northern Sotho,11,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.23,Ms,true,O(n log n),O(n),true,85-149-4894
Tamil,23,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.92,Mr,true,O(n log n),O(n),true,03-227-3212
Estonian,85,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.23,Ms,false,O(n log n),O(n),false,24-195-5104
Malayalam,61,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Dr,true,O(n log n),O(n),true,33-981-0629
Quechua,50,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.34,Dr,true,O(n log n),O(n),true,55-173-7364
Aymara,52,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Rev,true,O(n log n),O(n),true,83-734-2130
Mongolian,27,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.0,Honorable,true,O(n log n),O(n),false,83-230-0408
Montenegrin,83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.9,Ms,false,O(n log n),O(n),false,32-621-5781
Hindi,12,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Rev,true,O(n log n),O(n),true,79-452-3376
Hebrew,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.99,Mrs,true,O(n log n),O(n),false,01-663-9992
Bislama,27,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.37,Honorable,true,O(n log n),O(n),false,59-724-8813
Moldovan,7,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.56,Mrs,false,O(n log n),O(n),false,17-711-4912
Zulu,77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.81,Rev,false,O(n log n),O(n),false,20-445-0081
Italian,64,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.35,Mr,true,O(n log n),O(n),true,48-121-8207
Portuguese,68,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.36,Ms,false,O(n log n),O(n),false,00-575-1130
Quechua,23,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.03,Mr,false,O(n log n),O(n),true,82-246-1640
Marathi,72,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.65,Mr,true,O(n log n),O(n),false,73-699-6265
Tswana,46,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.64,Honorable,true,O(n log n),O(n),true,33-372-2675
Nepali,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Mrs,false,O(n log n),O(n),false,31-121-6056
Gagauz,57,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.53,Mr,false,O(n log n),O(n),false,14-740-5354
Afrikaans,99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.32,Rev,true,O(n log n),O(n),true,44-769-5106
West Frisian,60,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.2,Mrs,false,O(n log n),O(n),false,23-124-8678
Thai,34,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.54,Dr,false,O(n log n),O(n),false,40-608-5305
Gagauz,28,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.3,Honorable,false,O(n log n),O(n),false,60-400-3336
Tamil,41,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.42,Mr,true,O(n log n),O(n),true,54-511-3995
Montenegrin,80,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.53,Honorable,true,O(n log n),O(n),true,76-942-5192
Hiri Motu,88,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.99,Rev,false,O(n log n),O(n),true,45-015-7080
German,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Dr,false,O(n log n),O(n),true,17-587-3133
West Frisian,53,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.19,Mrs,false,O(n log n),O(n),true,94-042-9818
Gagauz,100,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Rev,false,O(n log n),O(n),true,95-172-9010
Gagauz,14,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.6,Mrs,false,O(n log n),O(n),true,16-760-4995
Romanian,76,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.33,Dr,true,O(n log n),O(n),false,01-941-8657
Bengali,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.87,Mrs,true,O(n log n),O(n),false,98-726-7168
Hebrew,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.1,Ms,false,O(n log n),O(n),true,11-841-5510
Romanian,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.64,Dr,false,O(n log n),O(n),true,22-204-0629
Irish Gaelic,5,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.85,Mr,true,O(n log n),O(n),false,37-367-2171
Irish Gaelic,83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.76,Mr,true,O(n log n),O(n),false,75-195-5040
Polish,77,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.61,Rev,false,O(n log n),O(n),true,01-011-2962
Yiddish,46,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.79,Honorable,false,O(n log n),O(n),false,34-264-7607
Persian,5,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.77,Ms,false,O(n log n),O(n),true,61-893-9412
Portuguese,4,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.02,Dr,false,O(n log n),O(n),true,45-884-3225
Catalan,36,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.99,Mrs,true,O(n log n),O(n),false,82-474-4351
Bosnian,97,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.3,Mr,false,O(n log n),O(n),false,15-400-8912
Danish,11,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.36,Honorable,true,O(n log n),O(n),true,35-093-4802
Papiamento,40,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.52,Honorable,false,O(n log n),O(n),true,39-264-1087
Swati,59,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.95,Mr,true,O(n log n),O(n),false,20-203-6351
Mongolian,16,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.55,Honorable,false,O(n log n),O(n),false,30-898-6489
Malayalam,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.85,Honorable,false,O(n log n),O(n),true,75-555-8721
Bislama,88,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.81,Dr,false,O(n log n),O(n),false,43-058-4708
Dzongkha,70,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.88,Mrs,false,O(n log n),O(n),true,08-681-2862
Guaraní,88,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.08,Ms,true,O(n log n),O(n),false,33-645-8550
Swahili,91,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Mrs,false,O(n log n),O(n),true,30-726-1363
Swati,87,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.46,Rev,false,O(n log n),O(n),true,48-318-3339
Fijian,2,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.66,Mr,false,O(n log n),O(n),false,45-000-8446
Oriya,67,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.54,Rev,true,O(n log n),O(n),true,30-569-6914
Tetum,30,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.71,Ms,true,O(n log n),O(n),true,30-877-4043
Czech,35,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.58,Dr,false,O(n log n),O(n),true,18-813-1635
Persian,83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.82,Dr,true,O(n log n),O(n),true,27-405-8111
Swedish,44,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.8,Rev,false,O(n log n),O(n),true,63-545-3186
Yiddish,15,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.86,Mr,false,O(n log n),O(n),true,70-349-7617
Hebrew,37,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.62,Mr,true,O(n log n),O(n),false,31-672-8732
Malayalam,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.13,Mrs,true,O(n log n),O(n),false,05-718-8609
Hiri Motu,73,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.86,Honorable,true,O(n log n),O(n),false,37-970-8308
Danish,28,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.89,Rev,true,O(n log n),O(n),false,66-554-7509
Japanese,68,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.15,Ms,false,O(n log n),O(n),true,06-036-4888
Lithuanian,59,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.11,Mr,false,O(n log n),O(n),true,75-269-2102
Thai,62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.17,Mr,false,O(n log n),O(n),true,12-037-6119
Moldovan,8,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.5,Ms,false,O(n log n),O(n),false,40-738-3123
Kannada,46,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.72,Ms,false,O(n log n),O(n),true,19-703-8699
Oriya,83,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.81,Ms,false,O(n log n),O(n),false,72-053-5844
Hebrew,96,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.04,Rev,true,O(n log n),O(n),false,56-232-7322
Malayalam,24,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.41,Mr,true,O(n log n),O(n),true,75-990-8539
Macedonian,64,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.1,Mrs,true,O(n log n),O(n),false,20-646-8070
Gujarati,74,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.35,Mr,false,O(n log n),O(n),false,83-806-2066
German,41,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.92,Honorable,true,O(n log n),O(n),false,91-849-0531
Quechua,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.96,Honorable,false,O(n log n),O(n),true,48-757-9141
Persian,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.21,Honorable,false,O(n log n),O(n),true,87-895-0004
Haitian Creole,91,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.41,Mrs,true,O(n log n),O(n),true,19-890-9060
Kurdish,49,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.45,Honorable,true,O(n log n),O(n),true,15-439-1287
Montenegrin,99,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.61,Rev,false,O(n log n),O(n),true,70-511-3646
Catalan,93,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.42,Honorable,false,O(n log n),O(n),false,69-391-6174
Portuguese,18,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.16,Mrs,true,O(n log n),O(n),true,09-233-0755
Papiamento,25,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.83,Dr,false,O(n log n),O(n),false,89-241-6554
Khmer,9,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.75,Honorable,false,O(n log n),O(n),true,82-393-7577
Malayalam,38,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Mr,false,O(n log n),O(n),false,79-019-0965
Greek,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.32,Honorable,false,O(n log n),O(n),true,96-171-8680
Quechua,56,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Honorable,false,O(n log n),O(n),false,08-196-3014
Finnish,12,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.44,Mrs,false,O(n log n),O(n),true,33-352-2841
Guaraní,43,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.41,Honorable,false,O(n log n),O(n),false,92-267-7604
Dari,26,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.67,Ms,false,O(n log n),O(n),true,09-723-5906
Burmese,66,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.42,Honorable,true,O(n log n),O(n),true,49-249-7090
Malay,92,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.51,Mr,true,O(n log n),O(n),false,70-800-5698
Malay,35,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.93,Ms,false,O(n log n),O(n),true,75-606-5169
Kyrgyz,17,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.36,Mrs,false,O(n log n),O(n),false,76-181-9935
Nepali,94,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.37,Mrs,false,O(n log n),O(n),true,19-134-3046
Persian,52,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.78,Rev,true,O(n log n),O(n),false,15-061-1320
Nepali,1,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.88,Rev,false,O(n log n),O(n),false,80-258-6000
Persian,46,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.0,Rev,true,O(n log n),O(n),false,48-720-1025
Bulgarian,54,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.22,Rev,true,O(n log n),O(n),false,08-818-6206
Lao,90,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.1,Dr,true,O(n log n),O(n),true,77-253-0066
Dutch,74,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.15,Ms,true,O(n log n),O(n),false,32-089-7280
Afrikaans,16,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.31,Rev,false,O(n log n),O(n),true,58-919-8100
Belarusian,31,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.23,Mr,false,O(n log n),O(n),true,63-161-8812
Guaraní,62,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.28,Ms,true,O(n log n),O(n),true,20-869-3662
Portuguese,68,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.8,Mrs,false,O(n log n),O(n),false,73-685-8671
Indonesian,29,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.13,Dr,false,O(n log n),O(n),false,01-636-3014
Haitian Creole,93,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.35,Mrs,true,O(n log n),O(n),true,65-908-9702
Macedonian,8,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,0.84,Rev,false,O(n log n),O(n),true,63-621-6444
